"sep=	"
Shimmer_D349_TimestampSync_Unix_CAL	Shimmer_D349_Accel_LN_X_CAL	Shimmer_D349_Accel_LN_Y_CAL	Shimmer_D349_Accel_LN_Z_CAL	Shimmer_D349_Battery_CAL	Shimmer_D349_Ext_Exp_A7_CAL	Shimmer_D349_GSR_Range_CAL	Shimmer_D349_GSR_Skin_Conductance_CAL	Shimmer_D349_GSR_Skin_Resistance_CAL	Shimmer_D349_Mag_X_CAL	Shimmer_D349_Mag_Y_CAL	Shimmer_D349_Mag_Z_CAL	Shimmer_D349_Pressure_BMP280_CAL	Shimmer_D349_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	no_units	uS	kOhms	local_flux	local_flux	local_flux	kPa	Degrees Celsius	
1.6985040866607239E12	6.684782608695652	0.5869565217391304	9.793478260869565	3671.7948717948716	1733.3333333333333	3.0	0.06815406815406817	14672.638436482079	-0.13193403298350825	0.09895052473763118	-0.7586206896551724	99.6826087832423	28.772695046762237	
1.6985040866802568E12	6.717391304347826	0.5543478260869565	9.793478260869565	3667.399267399267	1736.9963369963368	3.0	0.06815406815406817	14672.638436482079	-0.12893553223388304	0.1169415292353823	-0.760119940029985	99.6826087832423	28.772695046762237	
1.6985040866997898E12	6.706521739130435	0.5760869565217391	9.804347826086957	3677.655677655677	1746.5201465201465	3.0	0.06815406815406817	14672.638436482079	-0.12593703148425786	0.10344827586206896	-0.7706146926536731	99.6826087832423	28.772695046762237	
1.6985040867193228E12	6.684782608695652	0.5652173913043478	9.771739130434783	3651.282051282051	1719.4139194139193	3.0	0.06859806859806863	14577.669902912616	-0.12293853073463268	0.09895052473763118	-0.7541229385307346	99.68531004308127	28.772695046762237	
1.6985040867388557E12	6.663043478260869	0.5869565217391304	9.804347826086957	3646.8864468864467	1704.7619047619046	3.0	0.06815406815406817	14672.638436482079	-0.13493253373313344	0.10494752623688156	-0.7616191904047975	99.6826087832423	28.772695046762237	
1.6985040867583887E12	6.673913043478261	0.5978260869565217	9.771739130434783	3676.190476190476	1731.8681318681317	3.0	0.06815406815406817	14672.638436482079	-0.12293853073463268	0.0914542728635682	-0.7571214392803598	99.6826087832423	28.772695046762237	
1.6985040867779216E12	6.706521739130435	0.5760869565217391	9.771739130434783	3652.7472527472523	1717.9487179487178	3.0	0.06815406815406817	14672.638436482079	-0.12443778110944527	0.10194902548725637	-0.7481259370314842	99.6772062711037	28.772695046762237	
1.6985040867974546E12	6.739130434782608	0.5869565217391304	9.771739130434783	3657.142857142857	1713.5531135531135	3.0	0.06815406815406817	14672.638436482079	-0.13043478260869565	0.10044977511244378	-0.7451274362818591	99.6826087832423	28.772695046762237	
1.6985040868169875E12	6.75	0.5652173913043478	9.793478260869565	3642.490842490842	1696.7032967032967	3.0	0.06771006771006774	14768.852459016387	-0.13343328335832083	0.10044977511244378	-0.7631184407796102	99.6826087832423	28.772695046762237	
